split,target,reference,metric,mean_diff,ci95,target_better_seeds,seeds
combined_hard_shift,physical_intent_disambiguation,body_normalized_knn,intent_accuracy,0.38095,0.10385,7,7
combined_hard_shift,physical_intent_disambiguation,body_normalized_knn,action_success,0.47619,0.05850,7,7
combined_hard_shift,physical_intent_disambiguation,body_normalized_knn,param_error,-0.73689,0.07434,7,7
combined_hard_shift,physical_intent_disambiguation,body_normalized_knn,calibration_error,-0.16892,0.02280,7,7
combined_hard_shift,physical_intent_disambiguation,body_normalized_knn,morphology_leakage,-0.04422,0.06230,5,7
combined_hard_shift,physical_intent_disambiguation,object_affordance_classifier,intent_accuracy,0.12585,0.03333,7,7
combined_hard_shift,physical_intent_disambiguation,object_affordance_classifier,action_success,0.17347,0.02211,7,7
combined_hard_shift,physical_intent_disambiguation,object_affordance_classifier,param_error,-0.20576,0.04437,7,7
combined_hard_shift,physical_intent_disambiguation,object_affordance_classifier,calibration_error,-0.10884,0.02503,7,7
combined_hard_shift,physical_intent_disambiguation,object_affordance_classifier,morphology_leakage,0.08163,0.03031,0,7
combined_hard_shift,physical_intent_disambiguation,style_invariant_logistic,intent_accuracy,0.30952,0.06831,7,7
combined_hard_shift,physical_intent_disambiguation,style_invariant_logistic,action_success,0.29252,0.06498,7,7
combined_hard_shift,physical_intent_disambiguation,style_invariant_logistic,param_error,-0.29757,0.05964,7,7
combined_hard_shift,physical_intent_disambiguation,style_invariant_logistic,calibration_error,-0.22404,0.04725,7,7
combined_hard_shift,physical_intent_disambiguation,style_invariant_logistic,morphology_leakage,-0.03741,0.05926,4,7
morphology_shift,physical_intent_disambiguation,body_normalized_knn,intent_accuracy,0.30952,0.04554,7,7
morphology_shift,physical_intent_disambiguation,body_normalized_knn,action_success,0.38095,0.03672,7,7
morphology_shift,physical_intent_disambiguation,body_normalized_knn,param_error,-0.55616,0.07121,7,7
morphology_shift,physical_intent_disambiguation,body_normalized_knn,calibration_error,-0.18132,0.02407,7,7
morphology_shift,physical_intent_disambiguation,body_normalized_knn,morphology_leakage,-0.11905,0.07953,6,7
morphology_shift,physical_intent_disambiguation,object_affordance_classifier,intent_accuracy,0.14966,0.02639,7,7
morphology_shift,physical_intent_disambiguation,object_affordance_classifier,action_success,0.21769,0.02775,7,7
morphology_shift,physical_intent_disambiguation,object_affordance_classifier,param_error,-0.17353,0.01187,7,7
morphology_shift,physical_intent_disambiguation,object_affordance_classifier,calibration_error,-0.04548,0.01089,7,7
morphology_shift,physical_intent_disambiguation,object_affordance_classifier,morphology_leakage,0.08844,0.05164,0,7
morphology_shift,physical_intent_disambiguation,style_invariant_logistic,intent_accuracy,0.19048,0.04666,7,7
morphology_shift,physical_intent_disambiguation,style_invariant_logistic,action_success,0.18708,0.04489,7,7
morphology_shift,physical_intent_disambiguation,style_invariant_logistic,param_error,-0.15894,0.04446,7,7
morphology_shift,physical_intent_disambiguation,style_invariant_logistic,calibration_error,-0.10599,0.02882,7,7
morphology_shift,physical_intent_disambiguation,style_invariant_logistic,morphology_leakage,-0.10204,0.05913,6,7
object_affordance_ambiguity,physical_intent_disambiguation,body_normalized_knn,intent_accuracy,0.11565,0.04929,7,7
object_affordance_ambiguity,physical_intent_disambiguation,body_normalized_knn,action_success,0.19728,0.05361,7,7
