split,method,metric,mean,ci95,seeds,episodes_per_seed
combined_hard_shift,raw_trajectory_knn,intent_accuracy,0.30272,0.05913,7,42
combined_hard_shift,raw_trajectory_knn,action_success,0.19388,0.06864,7,42
combined_hard_shift,raw_trajectory_knn,param_error,0.97470,0.04040,7,42
combined_hard_shift,raw_trajectory_knn,calibration_error,0.44516,0.01224,7,42
combined_hard_shift,raw_trajectory_knn,abstain_rate,0.00000,0.00000,7,42
combined_hard_shift,raw_trajectory_knn,morphology_leakage,0.78231,0.03288,7,42
combined_hard_shift,body_normalized_knn,intent_accuracy,0.41497,0.08327,7,42
combined_hard_shift,body_normalized_knn,action_success,0.30272,0.04405,7,42
combined_hard_shift,body_normalized_knn,param_error,0.90799,0.08245,7,42
combined_hard_shift,body_normalized_knn,calibration_error,0.44726,0.01800,7,42
combined_hard_shift,body_normalized_knn,abstain_rate,0.00000,0.00000,7,42
combined_hard_shift,body_normalized_knn,morphology_leakage,0.62245,0.09843,7,42
combined_hard_shift,velocity_contact_classifier,intent_accuracy,0.42857,0.06360,7,42
combined_hard_shift,velocity_contact_classifier,action_success,0.21769,0.05033,7,42
combined_hard_shift,velocity_contact_classifier,param_error,0.91994,0.05111,7,42
combined_hard_shift,velocity_contact_classifier,calibration_error,0.53277,0.03730,7,42
combined_hard_shift,velocity_contact_classifier,abstain_rate,0.00000,0.00000,7,42
combined_hard_shift,velocity_contact_classifier,morphology_leakage,0.73469,0.04488,7,42
combined_hard_shift,object_affordance_classifier,intent_accuracy,0.67007,0.05430,7,42
combined_hard_shift,object_affordance_classifier,action_success,0.60544,0.04303,7,42
combined_hard_shift,object_affordance_classifier,param_error,0.37686,0.03033,7,42
combined_hard_shift,object_affordance_classifier,calibration_error,0.38717,0.03008,7,42
combined_hard_shift,object_affordance_classifier,abstain_rate,0.00000,0.00000,7,42
combined_hard_shift,object_affordance_classifier,morphology_leakage,0.49660,0.05333,7,42
combined_hard_shift,style_invariant_logistic,intent_accuracy,0.48639,0.05837,7,42
combined_hard_shift,style_invariant_logistic,action_success,0.48639,0.05837,7,42
combined_hard_shift,style_invariant_logistic,param_error,0.46867,0.08249,7,42
combined_hard_shift,style_invariant_logistic,calibration_error,0.50238,0.04084,7,42
combined_hard_shift,style_invariant_logistic,abstain_rate,0.00000,0.00000,7,42
combined_hard_shift,style_invariant_logistic,morphology_leakage,0.61565,0.09737,7,42
combined_hard_shift,physical_intent_disambiguation,intent_accuracy,0.79592,0.02667,7,42
combined_hard_shift,physical_intent_disambiguation,action_success,0.77891,0.02828,7,42
combined_hard_shift,physical_intent_disambiguation,param_error,0.17110,0.02841,7,42
combined_hard_shift,physical_intent_disambiguation,calibration_error,0.27834,0.00777,7,42
combined_hard_shift,physical_intent_disambiguation,abstain_rate,0.01020,0.01388,7,42
combined_hard_shift,physical_intent_disambiguation,morphology_leakage,0.57823,0.08129,7,42
combined_hard_shift,oracle_intent_upper_bound,intent_accuracy,1.00000,0.00000,7,42
combined_hard_shift,oracle_intent_upper_bound,action_success,1.00000,0.00000,7,42
combined_hard_shift,oracle_intent_upper_bound,param_error,0.02089,0.00106,7,42
combined_hard_shift,oracle_intent_upper_bound,calibration_error,0.01500,0.00000,7,42
combined_hard_shift,oracle_intent_upper_bound,abstain_rate,0.00000,0.00000,7,42
morphology_shift,raw_trajectory_knn,intent_accuracy,0.37755,0.07582,7,42
morphology_shift,raw_trajectory_knn,action_success,0.30952,0.07128,7,42
morphology_shift,raw_trajectory_knn,param_error,0.89437,0.07075,7,42
morphology_shift,raw_trajectory_knn,calibration_error,0.45307,0.01532,7,42
morphology_shift,raw_trajectory_knn,abstain_rate,0.00000,0.00000,7,42
morphology_shift,raw_trajectory_knn,morphology_leakage,0.81292,0.02582,7,42
morphology_shift,body_normalized_knn,intent_accuracy,0.65646,0.04974,7,42
morphology_shift,body_normalized_knn,action_success,0.58163,0.05178,7,42
morphology_shift,body_normalized_knn,param_error,0.58818,0.07529,7,42
morphology_shift,body_normalized_knn,calibration_error,0.34001,0.01868,7,42
morphology_shift,body_normalized_knn,abstain_rate,0.00000,0.00000,7,42
morphology_shift,body_normalized_knn,morphology_leakage,0.70408,0.10328,7,42
morphology_shift,velocity_contact_classifier,intent_accuracy,0.57143,0.05850,7,42
morphology_shift,velocity_contact_classifier,action_success,0.30952,0.03055,7,42
morphology_shift,velocity_contact_classifier,param_error,0.81010,0.05183,7,42
morphology_shift,velocity_contact_classifier,calibration_error,0.43461,0.03286,7,42
morphology_shift,velocity_contact_classifier,abstain_rate,0.00000,0.00000,7,42
morphology_shift,velocity_contact_classifier,morphology_leakage,0.77891,0.02828,7,42
morphology_shift,object_affordance_classifier,intent_accuracy,0.81632,0.03174,7,42
morphology_shift,object_affordance_classifier,action_success,0.74490,0.04037,7,42
morphology_shift,object_affordance_classifier,param_error,0.20555,0.01119,7,42
morphology_shift,object_affordance_classifier,calibration_error,0.20418,0.01910,7,42
morphology_shift,object_affordance_classifier,abstain_rate,0.00000,0.00000,7,42
morphology_shift,object_affordance_classifier,morphology_leakage,0.49660,0.04251,7,42
morphology_shift,style_invariant_logistic,intent_accuracy,0.77551,0.06266,7,42
morphology_shift,style_invariant_logistic,action_success,0.77551,0.06266,7,42
morphology_shift,style_invariant_logistic,param_error,0.19096,0.04630,7,42
morphology_shift,style_invariant_logistic,calibration_error,0.26468,0.04104,7,42
morphology_shift,style_invariant_logistic,abstain_rate,0.00000,0.00000,7,42
morphology_shift,style_invariant_logistic,morphology_leakage,0.68707,0.08546,7,42
morphology_shift,physical_intent_disambiguation,intent_accuracy,0.96599,0.03031,7,42
morphology_shift,physical_intent_disambiguation,action_success,0.96258,0.03652,7,42
morphology_shift,physical_intent_disambiguation,param_error,0.03202,0.00434,7,42
morphology_shift,physical_intent_disambiguation,calibration_error,0.15869,0.01971,7,42
morphology_shift,physical_intent_disambiguation,abstain_rate,0.00680,0.01333,7,42
morphology_shift,physical_intent_disambiguation,morphology_leakage,0.58503,0.06667,7,42
morphology_shift,oracle_intent_upper_bound,intent_accuracy,1.00000,0.00000,7,42
morphology_shift,oracle_intent_upper_bound,action_success,1.00000,0.00000,7,42
morphology_shift,oracle_intent_upper_bound,param_error,0.02207,0.00145,7,42
morphology_shift,oracle_intent_upper_bound,calibration_error,0.01500,0.00000,7,42
morphology_shift,oracle_intent_upper_bound,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,raw_trajectory_knn,intent_accuracy,0.62585,0.05735,7,42
object_affordance_ambiguity,raw_trajectory_knn,action_success,0.54762,0.06982,7,42
object_affordance_ambiguity,raw_trajectory_knn,param_error,0.65897,0.10891,7,42
object_affordance_ambiguity,raw_trajectory_knn,calibration_error,0.39026,0.02317,7,42
object_affordance_ambiguity,raw_trajectory_knn,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,raw_trajectory_knn,morphology_leakage,0.84353,0.03356,7,42
object_affordance_ambiguity,body_normalized_knn,intent_accuracy,0.81292,0.06788,7,42
object_affordance_ambiguity,body_normalized_knn,action_success,0.72109,0.06498,7,42
object_affordance_ambiguity,body_normalized_knn,param_error,0.49996,0.09757,7,42
object_affordance_ambiguity,body_normalized_knn,calibration_error,0.26079,0.03315,7,42
object_affordance_ambiguity,body_normalized_knn,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,body_normalized_knn,morphology_leakage,0.51020,0.04422,7,42
object_affordance_ambiguity,velocity_contact_classifier,intent_accuracy,0.73129,0.07107,7,42
object_affordance_ambiguity,velocity_contact_classifier,action_success,0.33673,0.04929,7,42
object_affordance_ambiguity,velocity_contact_classifier,param_error,0.80028,0.06862,7,42
object_affordance_ambiguity,velocity_contact_classifier,calibration_error,0.31706,0.04070,7,42
object_affordance_ambiguity,velocity_contact_classifier,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,velocity_contact_classifier,morphology_leakage,0.71429,0.05291,7,42
object_affordance_ambiguity,object_affordance_classifier,intent_accuracy,0.72449,0.04055,7,42
object_affordance_ambiguity,object_affordance_classifier,action_success,0.62925,0.03197,7,42
object_affordance_ambiguity,object_affordance_classifier,param_error,0.33782,0.03163,7,42
object_affordance_ambiguity,object_affordance_classifier,calibration_error,0.34571,0.02310,7,42
object_affordance_ambiguity,object_affordance_classifier,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,object_affordance_classifier,morphology_leakage,0.52041,0.05888,7,42
object_affordance_ambiguity,style_invariant_logistic,intent_accuracy,0.87415,0.03771,7,42
object_affordance_ambiguity,style_invariant_logistic,action_success,0.87415,0.03771,7,42
object_affordance_ambiguity,style_invariant_logistic,param_error,0.14823,0.02496,7,42
object_affordance_ambiguity,style_invariant_logistic,calibration_error,0.20621,0.02015,7,42
object_affordance_ambiguity,style_invariant_logistic,abstain_rate,0.00000,0.00000,7,42
object_affordance_ambiguity,style_invariant_logistic,morphology_leakage,0.50340,0.03127,7,42
object_affordance_ambiguity,physical_intent_disambiguation,intent_accuracy,0.92857,0.02277,7,42
object_affordance_ambiguity,physical_intent_disambiguation,action_success,0.91837,0.03031,7,42
object_affordance_ambiguity,physical_intent_disambiguation,param_error,0.06875,0.01054,7,42
object_affordance_ambiguity,physical_intent_disambiguation,calibration_error,0.19474,0.01516,7,42
object_affordance_ambiguity,physical_intent_disambiguation,abstain_rate,0.01701,0.01333,7,42
object_affordance_ambiguity,physical_intent_disambiguation,morphology_leakage,0.53061,0.05264,7,42
object_affordance_ambiguity,oracle_intent_upper_bound,intent_accuracy,1.00000,0.00000,7,42
object_affordance_ambiguity,oracle_intent_upper_bound,action_success,1.00000,0.00000,7,42
object_affordance_ambiguity,oracle_intent_upper_bound,param_error,0.02254,0.00067,7,42
object_affordance_ambiguity,oracle_intent_upper_bound,calibration_error,0.01500,0.00000,7,42
object_affordance_ambiguity,oracle_intent_upper_bound,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,raw_trajectory_knn,intent_accuracy,0.68708,0.03590,7,42
seen_morphology_clean,raw_trajectory_knn,action_success,0.61905,0.04321,7,42
seen_morphology_clean,raw_trajectory_knn,param_error,0.51390,0.02769,7,42
seen_morphology_clean,raw_trajectory_knn,calibration_error,0.39391,0.01451,7,42
seen_morphology_clean,raw_trajectory_knn,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,raw_trajectory_knn,morphology_leakage,0.82653,0.04745,7,42
seen_morphology_clean,body_normalized_knn,intent_accuracy,0.83333,0.03810,7,42
seen_morphology_clean,body_normalized_knn,action_success,0.71088,0.03731,7,42
seen_morphology_clean,body_normalized_knn,param_error,0.45945,0.06804,7,42
seen_morphology_clean,body_normalized_knn,calibration_error,0.24569,0.02390,7,42
seen_morphology_clean,body_normalized_knn,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,body_normalized_knn,morphology_leakage,0.48639,0.06348,7,42
seen_morphology_clean,velocity_contact_classifier,intent_accuracy,0.73809,0.07343,7,42
seen_morphology_clean,velocity_contact_classifier,action_success,0.41156,0.03906,7,42
seen_morphology_clean,velocity_contact_classifier,param_error,0.71123,0.06108,7,42
seen_morphology_clean,velocity_contact_classifier,calibration_error,0.31878,0.04056,7,42
seen_morphology_clean,velocity_contact_classifier,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,velocity_contact_classifier,morphology_leakage,0.76190,0.08641,7,42
seen_morphology_clean,object_affordance_classifier,intent_accuracy,0.82653,0.03485,7,42
seen_morphology_clean,object_affordance_classifier,action_success,0.74150,0.07513,7,42
seen_morphology_clean,object_affordance_classifier,param_error,0.20447,0.01761,7,42
seen_morphology_clean,object_affordance_classifier,calibration_error,0.19463,0.01990,7,42
seen_morphology_clean,object_affordance_classifier,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,object_affordance_classifier,morphology_leakage,0.45238,0.04667,7,42
seen_morphology_clean,style_invariant_logistic,intent_accuracy,0.88095,0.05092,7,42
seen_morphology_clean,style_invariant_logistic,action_success,0.88095,0.05092,7,42
seen_morphology_clean,style_invariant_logistic,param_error,0.10448,0.04006,7,42
seen_morphology_clean,style_invariant_logistic,calibration_error,0.19270,0.02745,7,42
seen_morphology_clean,style_invariant_logistic,abstain_rate,0.00000,0.00000,7,42
seen_morphology_clean,style_invariant_logistic,morphology_leakage,0.49320,0.05457,7,42
seen_morphology_clean,physical_intent_disambiguation,intent_accuracy,0.97619,0.02694,7,42
seen_morphology_clean,physical_intent_disambiguation,action_success,0.97279,0.02582,7,42
seen_morphology_clean,physical_intent_disambiguation,param_error,0.02656,0.00187,7,42
seen_morphology_clean,physical_intent_disambiguation,calibration_error,0.14223,0.01602,7,42
seen_morphology_clean,physical_intent_disambiguation,abstain_rate,0.00340,0.00667,7,42
seen_morphology_clean,physical_intent_disambiguation,morphology_leakage,0.48980,0.05278,7,42
seen_morphology_clean,oracle_intent_upper_bound,intent_accuracy,1.00000,0.00000,7,42
seen_morphology_clean,oracle_intent_upper_bound,action_success,1.00000,0.00000,7,42
seen_morphology_clean,oracle_intent_upper_bound,param_error,0.02116,0.00101,7,42
seen_morphology_clean,oracle_intent_upper_bound,calibration_error,0.01500,0.00000,7,42
seen_morphology_clean,oracle_intent_upper_bound,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,raw_trajectory_knn,intent_accuracy,0.53061,0.05063,7,42
style_shift_same_intent,raw_trajectory_knn,action_success,0.42177,0.05457,7,42
style_shift_same_intent,raw_trajectory_knn,param_error,0.76957,0.05676,7,42
style_shift_same_intent,raw_trajectory_knn,calibration_error,0.44248,0.01201,7,42
style_shift_same_intent,raw_trajectory_knn,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,raw_trajectory_knn,morphology_leakage,0.77551,0.04422,7,42
style_shift_same_intent,body_normalized_knn,intent_accuracy,0.50680,0.03771,7,42
style_shift_same_intent,body_normalized_knn,action_success,0.41156,0.02639,7,42
style_shift_same_intent,body_normalized_knn,param_error,0.82612,0.04797,7,42
style_shift_same_intent,body_normalized_knn,calibration_error,0.42363,0.02410,7,42
style_shift_same_intent,body_normalized_knn,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,body_normalized_knn,morphology_leakage,0.53401,0.06348,7,42
style_shift_same_intent,velocity_contact_classifier,intent_accuracy,0.60204,0.07323,7,42
style_shift_same_intent,velocity_contact_classifier,action_success,0.32313,0.05077,7,42
style_shift_same_intent,velocity_contact_classifier,param_error,0.75146,0.06505,7,42
style_shift_same_intent,velocity_contact_classifier,calibration_error,0.42661,0.04217,7,42
style_shift_same_intent,velocity_contact_classifier,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,velocity_contact_classifier,morphology_leakage,0.61225,0.06885,7,42
style_shift_same_intent,object_affordance_classifier,intent_accuracy,0.84353,0.03507,7,42
style_shift_same_intent,object_affordance_classifier,action_success,0.74150,0.04251,7,42
style_shift_same_intent,object_affordance_classifier,param_error,0.23346,0.02727,7,42
style_shift_same_intent,object_affordance_classifier,calibration_error,0.22623,0.01514,7,42
style_shift_same_intent,object_affordance_classifier,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,object_affordance_classifier,morphology_leakage,0.48980,0.03197,7,42
style_shift_same_intent,style_invariant_logistic,intent_accuracy,0.62585,0.05735,7,42
style_shift_same_intent,style_invariant_logistic,action_success,0.62585,0.05735,7,42
style_shift_same_intent,style_invariant_logistic,param_error,0.26559,0.07384,7,42
style_shift_same_intent,style_invariant_logistic,calibration_error,0.38572,0.04365,7,42
style_shift_same_intent,style_invariant_logistic,abstain_rate,0.00000,0.00000,7,42
style_shift_same_intent,style_invariant_logistic,morphology_leakage,0.54422,0.07160,7,42
style_shift_same_intent,physical_intent_disambiguation,intent_accuracy,0.92517,0.03127,7,42
style_shift_same_intent,physical_intent_disambiguation,action_success,0.92517,0.03127,7,42
style_shift_same_intent,physical_intent_disambiguation,param_error,0.05997,0.00606,7,42
style_shift_same_intent,physical_intent_disambiguation,calibration_error,0.18296,0.01389,7,42
style_shift_same_intent,physical_intent_disambiguation,abstain_rate,0.00340,0.00667,7,42
style_shift_same_intent,physical_intent_disambiguation,morphology_leakage,0.52381,0.05670,7,42
