split,method,seed,episodes,intent_accuracy,action_success,param_error,calibration_error,abstain_rate,morphology_leakage
combined_hard_shift,raw_trajectory_knn,0,42,0.26190,0.16667,1.03980,0.44866,0.00000,0.80952
combined_hard_shift,raw_trajectory_knn,1,42,0.42857,0.33333,0.96148,0.46358,0.00000,0.80952
combined_hard_shift,raw_trajectory_knn,2,42,0.26190,0.16667,0.92606,0.42892,0.00000,0.71429
combined_hard_shift,raw_trajectory_knn,3,42,0.33333,0.23810,0.90500,0.43669,0.00000,0.80952
combined_hard_shift,raw_trajectory_knn,4,42,0.38095,0.26190,0.96974,0.43770,0.00000,0.83333
combined_hard_shift,raw_trajectory_knn,5,42,0.21429,0.04762,0.96783,0.42978,0.00000,0.73810
combined_hard_shift,raw_trajectory_knn,6,42,0.23810,0.14286,1.05301,0.47080,0.00000,0.76190
combined_hard_shift,body_normalized_knn,0,42,0.45238,0.33333,0.86613,0.46874,0.00000,0.69048
combined_hard_shift,body_normalized_knn,1,42,0.23810,0.19048,1.09866,0.46769,0.00000,0.71429
combined_hard_shift,body_normalized_knn,2,42,0.45238,0.28571,0.84595,0.47229,0.00000,0.35714
combined_hard_shift,body_normalized_knn,3,42,0.38095,0.33333,0.83952,0.44664,0.00000,0.61905
combined_hard_shift,body_normalized_knn,4,42,0.45238,0.30952,1.00821,0.41074,0.00000,0.76190
combined_hard_shift,body_normalized_knn,5,42,0.59524,0.38095,0.77592,0.42103,0.00000,0.64286
combined_hard_shift,body_normalized_knn,6,42,0.33333,0.28571,0.92153,0.44366,0.00000,0.57143
combined_hard_shift,velocity_contact_classifier,0,42,0.50000,0.26190,0.82850,0.48940,0.00000,0.76190
combined_hard_shift,velocity_contact_classifier,1,42,0.57143,0.28571,0.87957,0.45077,0.00000,0.83333
combined_hard_shift,velocity_contact_classifier,2,42,0.42857,0.19048,0.92299,0.52918,0.00000,0.69048
combined_hard_shift,velocity_contact_classifier,3,42,0.42857,0.28571,0.87144,0.53474,0.00000,0.78571
combined_hard_shift,velocity_contact_classifier,4,42,0.33333,0.23810,1.01296,0.59046,0.00000,0.71429
combined_hard_shift,velocity_contact_classifier,5,42,0.33333,0.11905,1.00680,0.58816,0.00000,0.69048
combined_hard_shift,velocity_contact_classifier,6,42,0.40476,0.14286,0.91732,0.54669,0.00000,0.66667
combined_hard_shift,object_affordance_classifier,0,42,0.69048,0.64286,0.30688,0.37209,0.00000,0.45238
combined_hard_shift,object_affordance_classifier,1,42,0.76190,0.64286,0.39550,0.33819,0.00000,0.59524
combined_hard_shift,object_affordance_classifier,2,42,0.71429,0.61905,0.36720,0.35944,0.00000,0.40476
combined_hard_shift,object_affordance_classifier,3,42,0.69048,0.66667,0.38955,0.37892,0.00000,0.50000
combined_hard_shift,object_affordance_classifier,4,42,0.54762,0.52381,0.44314,0.45355,0.00000,0.57143
combined_hard_shift,object_affordance_classifier,5,42,0.59524,0.52381,0.36664,0.43098,0.00000,0.52381
combined_hard_shift,object_affordance_classifier,6,42,0.69048,0.61905,0.36911,0.37705,0.00000,0.42857
