split,seed,episode_id,method,true_intent,pred_intent,intent_correct,action_success,param_error,confidence,calibration_error,abstain,failure_label,morphology,arm_length,camera_scale,style_speed,curvature,occlusion,noise,object_class,contact_time,stress_axis,stress_level
stress_morphology,0,0,body_normalized_knn,push,rotate,0,0,2.00000,0.55191,0.55191,0,wrong_intent,stress,0.93742,0.98897,0.82795,0.24209,0.02289,0.00971,sliding_box,0.51899,morphology,0.0
stress_morphology,0,0,object_affordance_classifier,push,push,1,1,0.30848,0.77461,0.22539,0,success,stress,0.93742,0.98897,0.82795,0.24209,0.02289,0.00971,sliding_box,0.51899,morphology,0.0
stress_morphology,0,0,style_invariant_logistic,push,push,1,1,0.10690,0.90067,0.09933,0,success,stress,0.93742,0.98897,0.82795,0.24209,0.02289,0.00971,sliding_box,0.51899,morphology,0.0
stress_morphology,0,0,physical_intent_disambiguation,push,push,1,1,0.10690,0.94157,0.05843,0,success,stress,0.93742,0.98897,0.82795,0.24209,0.02289,0.00971,sliding_box,0.51899,morphology,0.0
stress_morphology,0,0,oracle_intent_upper_bound,push,push,1,1,0.03079,0.98500,0.01500,0,success,stress,0.93742,0.98897,0.82795,0.24209,0.02289,0.00971,sliding_box,0.51899,morphology,0.0
stress_morphology,0,1,body_normalized_knn,pull,pull,1,1,0.13208,0.80467,0.19533,0,success,stress,0.94963,0.99286,0.96042,0.12308,0.00974,0.00859,tethered_box,0.47339,morphology,0.0
stress_morphology,0,1,object_affordance_classifier,pull,pull,1,1,0.23556,0.77030,0.22970,0,success,stress,0.94963,0.99286,0.96042,0.12308,0.00974,0.00859,tethered_box,0.47339,morphology,0.0
stress_morphology,0,1,style_invariant_logistic,pull,pull,1,1,0.12032,0.79624,0.20376,0,success,stress,0.94963,0.99286,0.96042,0.12308,0.00974,0.00859,tethered_box,0.47339,morphology,0.0
stress_morphology,0,1,physical_intent_disambiguation,pull,pull,1,1,0.12032,0.88856,0.11144,0,success,stress,0.94963,0.99286,0.96042,0.12308,0.00974,0.00859,tethered_box,0.47339,morphology,0.0
stress_morphology,0,1,oracle_intent_upper_bound,pull,pull,1,1,0.02109,0.98500,0.01500,0,success,stress,0.94963,0.99286,0.96042,0.12308,0.00974,0.00859,tethered_box,0.47339,morphology,0.0
stress_morphology,0,2,body_normalized_knn,rotate,rotate,1,0,1.04475,0.80190,0.19810,0,bad_action_parameter,stress,0.91811,1.00682,1.02415,0.28875,0.05739,0.00818,jar_lid,0.44192,morphology,0.0
stress_morphology,0,2,object_affordance_classifier,rotate,rotate,1,1,0.02642,0.91874,0.08126,0,success,stress,0.91811,1.00682,1.02415,0.28875,0.05739,0.00818,jar_lid,0.44192,morphology,0.0
stress_morphology,0,2,style_invariant_logistic,rotate,rotate,1,1,0.01453,0.97446,0.02554,0,success,stress,0.91811,1.00682,1.02415,0.28875,0.05739,0.00818,jar_lid,0.44192,morphology,0.0
stress_morphology,0,2,physical_intent_disambiguation,rotate,rotate,1,1,0.01453,0.98573,0.01427,0,success,stress,0.91811,1.00682,1.02415,0.28875,0.05739,0.00818,jar_lid,0.44192,morphology,0.0
stress_morphology,0,2,oracle_intent_upper_bound,rotate,rotate,1,1,0.00167,0.98500,0.01500,0,success,stress,0.91811,1.00682,1.02415,0.28875,0.05739,0.00818,jar_lid,0.44192,morphology,0.0
stress_morphology,0,3,body_normalized_knn,lift,lift,1,1,0.00000,1.00000,0.00000,0,success,stress,1.07948,1.04178,1.05836,0.16875,0.06352,0.01316,mug,0.43369,morphology,0.0
stress_morphology,0,3,object_affordance_classifier,lift,lift,1,1,0.00000,0.98665,0.01335,0,success,stress,1.07948,1.04178,1.05836,0.16875,0.06352,0.01316,mug,0.43369,morphology,0.0
stress_morphology,0,3,style_invariant_logistic,lift,lift,1,1,0.00000,0.98675,0.01325,0,success,stress,1.07948,1.04178,1.05836,0.16875,0.06352,0.01316,mug,0.43369,morphology,0.0
stress_morphology,0,3,physical_intent_disambiguation,lift,lift,1,1,0.00000,0.85031,0.14969,0,success,stress,1.07948,1.04178,1.05836,0.16875,0.06352,0.01316,mug,0.43369,morphology,0.0
stress_morphology,0,3,oracle_intent_upper_bound,lift,lift,1,1,0.02928,0.98500,0.01500,0,success,stress,1.07948,1.04178,1.05836,0.16875,0.06352,0.01316,mug,0.43369,morphology,0.0
