split,method,seed,morphology_leakage
seen_morphology_clean,raw_trajectory_knn,0,0.83333
seen_morphology_clean,body_normalized_knn,0,0.38095
seen_morphology_clean,velocity_contact_classifier,0,0.80952
seen_morphology_clean,object_affordance_classifier,0,0.38095
seen_morphology_clean,style_invariant_logistic,0,0.38095
seen_morphology_clean,physical_intent_disambiguation,0,0.35714
style_shift_same_intent,raw_trajectory_knn,0,0.71429
style_shift_same_intent,body_normalized_knn,0,0.69048
style_shift_same_intent,velocity_contact_classifier,0,0.57143
style_shift_same_intent,object_affordance_classifier,0,0.52381
style_shift_same_intent,style_invariant_logistic,0,0.73810
style_shift_same_intent,physical_intent_disambiguation,0,0.59524
morphology_shift,raw_trajectory_knn,0,0.85714
morphology_shift,body_normalized_knn,0,0.85714
morphology_shift,velocity_contact_classifier,0,0.76190
morphology_shift,object_affordance_classifier,0,0.42857
morphology_shift,style_invariant_logistic,0,0.78571
morphology_shift,physical_intent_disambiguation,0,0.54762
object_affordance_ambiguity,raw_trajectory_knn,0,0.83333
object_affordance_ambiguity,body_normalized_knn,0,0.45238
object_affordance_ambiguity,velocity_contact_classifier,0,0.61905
object_affordance_ambiguity,object_affordance_classifier,0,0.38095
object_affordance_ambiguity,style_invariant_logistic,0,0.47619
object_affordance_ambiguity,physical_intent_disambiguation,0,0.47619
combined_hard_shift,raw_trajectory_knn,0,0.80952
combined_hard_shift,body_normalized_knn,0,0.69048
combined_hard_shift,velocity_contact_classifier,0,0.76190
combined_hard_shift,object_affordance_classifier,0,0.45238
combined_hard_shift,style_invariant_logistic,0,0.66667
combined_hard_shift,physical_intent_disambiguation,0,0.52381
seen_morphology_clean,raw_trajectory_knn,1,0.73810
seen_morphology_clean,body_normalized_knn,1,0.47619
seen_morphology_clean,velocity_contact_classifier,1,0.59524
seen_morphology_clean,object_affordance_classifier,1,0.40476
seen_morphology_clean,style_invariant_logistic,1,0.47619
seen_morphology_clean,physical_intent_disambiguation,1,0.47619
style_shift_same_intent,raw_trajectory_knn,1,0.83333
style_shift_same_intent,body_normalized_knn,1,0.45238
style_shift_same_intent,velocity_contact_classifier,1,0.52381
style_shift_same_intent,object_affordance_classifier,1,0.45238
style_shift_same_intent,style_invariant_logistic,1,0.47619
style_shift_same_intent,physical_intent_disambiguation,1,0.42857
morphology_shift,raw_trajectory_knn,1,0.83333
morphology_shift,body_normalized_knn,1,0.83333
morphology_shift,velocity_contact_classifier,1,0.76190
morphology_shift,object_affordance_classifier,1,0.59524
morphology_shift,style_invariant_logistic,1,0.80952
morphology_shift,physical_intent_disambiguation,1,0.76190
object_affordance_ambiguity,raw_trajectory_knn,1,0.90476
object_affordance_ambiguity,body_normalized_knn,1,0.50000
