split,seed,episode_id,method,true_intent,pred_intent,intent_correct,action_success,param_error,confidence,calibration_error,abstain,failure_label,morphology,arm_length,camera_scale,style_speed,curvature,occlusion,noise,object_class,contact_time,ablation
combined_hard_shift,0,0,physical_intent_disambiguation,push,rotate,0,0,1.09602,0.89378,0.89378,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,full_physical_intent_disambiguation
combined_hard_shift,0,0,minus_body_scale_normalization,push,rotate,0,0,1.09602,0.89845,0.89845,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_body_scale_normalization
combined_hard_shift,0,0,minus_handedness_mirroring,push,rotate,0,0,1.09602,0.89182,0.89182,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_handedness_mirroring
combined_hard_shift,0,0,minus_object_affordance,push,rotate,0,0,1.09602,0.82107,0.82107,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_object_affordance
combined_hard_shift,0,0,minus_contact_timing,push,rotate,0,0,1.09602,0.88804,0.88804,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_contact_timing
combined_hard_shift,0,0,minus_style_speed_normalization,push,rotate,0,0,1.09602,0.91117,0.91117,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_style_speed_normalization
combined_hard_shift,0,0,minus_uncertainty_gate,push,rotate,0,0,1.09602,0.89378,0.89378,0,wrong_intent,shift,0.68561,1.31051,0.53549,0.26628,0.23423,0.03755,sliding_box,0.72068,minus_uncertainty_gate
combined_hard_shift,0,1,physical_intent_disambiguation,pull,rotate,0,0,1.31694,0.74526,0.74526,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,full_physical_intent_disambiguation
combined_hard_shift,0,1,minus_body_scale_normalization,pull,rotate,0,0,1.31694,0.74525,0.74525,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_body_scale_normalization
combined_hard_shift,0,1,minus_handedness_mirroring,pull,rotate,0,0,1.31694,0.74555,0.74555,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_handedness_mirroring
combined_hard_shift,0,1,minus_object_affordance,pull,pull,1,1,0.15445,0.52160,0.47840,0,success,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_object_affordance
combined_hard_shift,0,1,minus_contact_timing,pull,rotate,0,0,1.31694,0.73479,0.73479,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_contact_timing
combined_hard_shift,0,1,minus_style_speed_normalization,pull,rotate,0,0,1.31694,0.68131,0.68131,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_style_speed_normalization
combined_hard_shift,0,1,minus_uncertainty_gate,pull,rotate,0,0,1.31694,0.74526,0.74526,0,wrong_intent,shift,0.75261,1.32055,0.52984,0.36824,0.18674,0.02008,sliding_box,0.70852,minus_uncertainty_gate
combined_hard_shift,0,2,physical_intent_disambiguation,rotate,rotate,1,1,0.12290,0.95173,0.04827,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,full_physical_intent_disambiguation
combined_hard_shift,0,2,minus_body_scale_normalization,rotate,rotate,1,1,0.12290,0.96840,0.03160,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_body_scale_normalization
combined_hard_shift,0,2,minus_handedness_mirroring,rotate,rotate,1,1,0.12290,0.95885,0.04115,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_handedness_mirroring
combined_hard_shift,0,2,minus_object_affordance,rotate,rotate,1,1,0.12290,0.90164,0.09836,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_object_affordance
combined_hard_shift,0,2,minus_contact_timing,rotate,rotate,1,1,0.12290,0.94766,0.05234,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_contact_timing
combined_hard_shift,0,2,minus_style_speed_normalization,rotate,rotate,1,1,0.12290,0.94749,0.05251,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_style_speed_normalization
combined_hard_shift,0,2,minus_uncertainty_gate,rotate,rotate,1,1,0.12290,0.95173,0.04827,0,success,shift,1.41514,0.71879,1.84225,0.42282,0.30234,0.02935,round_handle,0.30701,minus_uncertainty_gate
combined_hard_shift,0,3,physical_intent_disambiguation,lift,lift,1,1,0.00000,0.80105,0.19895,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,full_physical_intent_disambiguation
combined_hard_shift,0,3,minus_body_scale_normalization,lift,lift,1,1,0.00000,0.80834,0.19166,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_body_scale_normalization
combined_hard_shift,0,3,minus_handedness_mirroring,lift,lift,1,1,0.00000,0.80118,0.19882,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_handedness_mirroring
combined_hard_shift,0,3,minus_object_affordance,lift,lift,1,1,0.00000,0.73895,0.26105,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_object_affordance
combined_hard_shift,0,3,minus_contact_timing,lift,lift,1,1,0.00000,0.81287,0.18713,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_contact_timing
combined_hard_shift,0,3,minus_style_speed_normalization,lift,lift,1,1,0.00000,0.78724,0.21276,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_style_speed_normalization
combined_hard_shift,0,3,minus_uncertainty_gate,lift,lift,1,1,0.00000,0.80105,0.19895,0,success,shift,1.32890,1.37872,0.56444,0.64403,0.16917,0.02889,round_handle,0.64862,minus_uncertainty_gate
combined_hard_shift,0,4,physical_intent_disambiguation,place,place,1,1,0.15518,0.84997,0.15003,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,full_physical_intent_disambiguation
combined_hard_shift,0,4,minus_body_scale_normalization,place,place,1,1,0.15518,0.88223,0.11777,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_body_scale_normalization
combined_hard_shift,0,4,minus_handedness_mirroring,place,place,1,1,0.15518,0.88177,0.11823,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_handedness_mirroring
combined_hard_shift,0,4,minus_object_affordance,place,rotate,0,0,0.81730,0.53031,0.53031,0,wrong_intent,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_object_affordance
combined_hard_shift,0,4,minus_contact_timing,place,place,1,1,0.15518,0.86773,0.13227,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_contact_timing
combined_hard_shift,0,4,minus_style_speed_normalization,place,place,1,1,0.15518,0.88639,0.11361,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_style_speed_normalization
combined_hard_shift,0,4,minus_uncertainty_gate,place,place,1,1,0.15518,0.84997,0.15003,0,success,shift,0.63791,0.74039,0.50082,0.43692,0.14675,0.03751,small_cup,0.73191,minus_uncertainty_gate
combined_hard_shift,0,5,physical_intent_disambiguation,handoff,handoff,1,1,0.04862,0.70723,0.29277,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,full_physical_intent_disambiguation
combined_hard_shift,0,5,minus_body_scale_normalization,handoff,handoff,1,1,0.04862,0.70990,0.29010,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_body_scale_normalization
combined_hard_shift,0,5,minus_handedness_mirroring,handoff,handoff,1,1,0.04862,0.69154,0.30846,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_handedness_mirroring
combined_hard_shift,0,5,minus_object_affordance,handoff,lift,0,0,1.11508,0.69472,0.69472,0,wrong_intent,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_object_affordance
combined_hard_shift,0,5,minus_contact_timing,handoff,handoff,1,1,0.04862,0.71448,0.28552,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_contact_timing
combined_hard_shift,0,5,minus_style_speed_normalization,handoff,handoff,1,1,0.04862,0.77488,0.22512,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_style_speed_normalization
combined_hard_shift,0,5,minus_uncertainty_gate,handoff,handoff,1,1,0.04862,0.70723,0.29277,0,success,shift,1.38857,0.68976,0.49210,0.52629,0.25474,0.03680,small_cup,0.75119,minus_uncertainty_gate
combined_hard_shift,0,6,physical_intent_disambiguation,push,rotate,0,0,0.12989,0.77792,0.77792,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,full_physical_intent_disambiguation
combined_hard_shift,0,6,minus_body_scale_normalization,push,rotate,0,0,0.12989,0.85654,0.85654,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_body_scale_normalization
combined_hard_shift,0,6,minus_handedness_mirroring,push,rotate,0,0,0.12989,0.85047,0.85047,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_handedness_mirroring
combined_hard_shift,0,6,minus_object_affordance,push,push,1,1,0.08757,0.61592,0.38408,0,success,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_object_affordance
combined_hard_shift,0,6,minus_contact_timing,push,rotate,0,0,0.12989,0.78069,0.78069,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_contact_timing
combined_hard_shift,0,6,minus_style_speed_normalization,push,rotate,0,0,0.12989,0.70773,0.70773,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_style_speed_normalization
combined_hard_shift,0,6,minus_uncertainty_gate,push,rotate,0,0,0.12989,0.77792,0.77792,0,wrong_intent,shift,1.35529,1.32673,0.61160,0.65136,0.31259,0.03672,sliding_box,0.69536,minus_uncertainty_gate
combined_hard_shift,0,7,physical_intent_disambiguation,pull,pull,1,1,0.14648,0.67596,0.32404,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,full_physical_intent_disambiguation
combined_hard_shift,0,7,minus_body_scale_normalization,pull,pull,1,1,0.14648,0.58541,0.41459,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_body_scale_normalization
combined_hard_shift,0,7,minus_handedness_mirroring,pull,pull,1,1,0.14648,0.58485,0.41515,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_handedness_mirroring
combined_hard_shift,0,7,minus_object_affordance,pull,pull,1,1,0.14648,0.93502,0.06498,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_object_affordance
combined_hard_shift,0,7,minus_contact_timing,pull,pull,1,1,0.14648,0.67883,0.32117,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_contact_timing
combined_hard_shift,0,7,minus_style_speed_normalization,pull,pull,1,1,0.14648,0.57511,0.42489,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_style_speed_normalization
combined_hard_shift,0,7,minus_uncertainty_gate,pull,pull,1,1,0.14648,0.67596,0.32404,0,success,shift,0.72790,1.31941,0.45361,0.40588,0.30675,0.02356,sliding_box,0.72661,minus_uncertainty_gate
combined_hard_shift,0,8,physical_intent_disambiguation,rotate,rotate,1,1,0.03661,0.96658,0.03342,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,full_physical_intent_disambiguation
combined_hard_shift,0,8,minus_body_scale_normalization,rotate,rotate,1,1,0.03661,0.98515,0.01485,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_body_scale_normalization
combined_hard_shift,0,8,minus_handedness_mirroring,rotate,rotate,1,1,0.03661,0.98513,0.01487,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_handedness_mirroring
combined_hard_shift,0,8,minus_object_affordance,rotate,rotate,1,1,0.03661,0.93437,0.06563,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_object_affordance
combined_hard_shift,0,8,minus_contact_timing,rotate,rotate,1,1,0.03661,0.96377,0.03623,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_contact_timing
combined_hard_shift,0,8,minus_style_speed_normalization,rotate,rotate,1,1,0.03661,0.96587,0.03413,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_style_speed_normalization
combined_hard_shift,0,8,minus_uncertainty_gate,rotate,rotate,1,1,0.03661,0.96658,0.03342,0,success,shift,1.40950,0.64194,0.53405,0.50275,0.16855,0.02801,round_handle,0.69664,minus_uncertainty_gate
combined_hard_shift,0,9,physical_intent_disambiguation,lift,lift,1,1,0.00000,0.81406,0.18594,0,success,shift,0.69640,0.68628,0.55180,0.31663,0.21758,0.03857,round_handle,0.71659,full_physical_intent_disambiguation
combined_hard_shift,0,9,minus_body_scale_normalization,lift,lift,1,1,0.00000,0.74204,0.25796,0,success,shift,0.69640,0.68628,0.55180,0.31663,0.21758,0.03857,round_handle,0.71659,minus_body_scale_normalization
combined_hard_shift,0,9,minus_handedness_mirroring,lift,lift,1,1,0.00000,0.79006,0.20994,0,success,shift,0.69640,0.68628,0.55180,0.31663,0.21758,0.03857,round_handle,0.71659,minus_handedness_mirroring
