split,seed,episode_id,method,true_intent,pred_intent,intent_correct,action_success,param_error,confidence,calibration_error,abstain,failure_label,morphology,arm_length,camera_scale,style_speed,curvature,occlusion,noise,object_class,contact_time
seen_morphology_clean,0,0,raw_trajectory_knn,push,push,1,1,0.20942,0.55821,0.44179,0,success,seen,1.00082,1.03978,0.88826,0.22087,0.04308,0.01144,cart,0.46813
seen_morphology_clean,0,1,raw_trajectory_knn,pull,pull,1,1,0.24600,0.63614,0.36386,0,success,seen,1.04488,1.05827,1.03333,0.16037,0.04815,0.00992,tethered_box,0.44592
seen_morphology_clean,0,2,raw_trajectory_knn,rotate,pull,0,0,1.76154,0.46122,0.46122,0,wrong_intent,seen,1.00070,1.00777,0.87232,0.19756,0.02739,0.01020,jar_lid,0.52617
seen_morphology_clean,0,3,raw_trajectory_knn,lift,lift,1,1,0.00000,0.67189,0.32811,0,success,seen,0.98255,0.98911,1.09795,0.16642,0.00988,0.00929,mug,0.37380
seen_morphology_clean,0,4,raw_trajectory_knn,place,place,1,1,0.35523,0.66866,0.33134,0,success,seen,1.03536,1.02523,1.06831,0.23057,0.00007,0.00970,peg_to_slot,0.43537
seen_morphology_clean,0,5,raw_trajectory_knn,handoff,handoff,1,1,0.04384,0.85983,0.14017,0,success,seen,1.02838,0.98240,0.89690,0.18419,0.01244,0.00675,tool_handoff,0.47999
seen_morphology_clean,0,6,raw_trajectory_knn,push,push,1,1,0.19964,0.58304,0.41696,0,success,seen,1.01518,0.97498,0.95412,0.18108,0.01858,0.00648,sliding_box,0.48090
seen_morphology_clean,0,7,raw_trajectory_knn,pull,pull,1,1,0.01564,0.41683,0.58317,0,success,seen,1.06498,1.01220,1.01101,0.19732,0.03125,0.00885,tethered_box,0.44196
seen_morphology_clean,0,8,raw_trajectory_knn,rotate,pull,0,0,1.81249,0.63974,0.63974,0,wrong_intent,seen,0.92640,0.96329,1.11456,0.18174,0.03300,0.00597,knob,0.38910
seen_morphology_clean,0,9,raw_trajectory_knn,lift,lift,1,1,0.00000,0.70542,0.29458,0,success,seen,0.99264,1.00198,0.98430,0.14291,0.01437,0.00826,tool,0.42904
seen_morphology_clean,0,10,raw_trajectory_knn,place,place,1,1,0.14180,0.69040,0.30960,0,success,seen,0.93936,1.01087,1.06378,0.16702,0.00315,0.00933,cup_to_bowl,0.44026
seen_morphology_clean,0,11,raw_trajectory_knn,handoff,handoff,1,1,0.23548,0.61139,0.38861,0,success,seen,1.07206,1.00873,0.85645,0.24066,0.04181,0.01032,tool_handoff,0.50365
seen_morphology_clean,0,12,raw_trajectory_knn,push,push,1,1,0.24350,0.60815,0.39185,0,success,seen,1.02012,0.99521,0.87625,0.15781,0.00586,0.00489,box,0.52217
seen_morphology_clean,0,13,raw_trajectory_knn,pull,pull,1,1,0.23388,0.43665,0.56335,0,success,seen,1.08068,1.03443,0.90008,0.20364,0.04591,0.00745,tethered_box,0.48473
