stress_axis,stress_level,method,intent_accuracy,action_success,ci95_success,param_error,rows
affordance,0.2,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02061,168
affordance,0.4,body_normalized_knn,0.80952,0.70238,0.04518,0.49386,168
affordance,0.4,object_affordance_classifier,0.74405,0.67857,0.04260,0.31599,168
affordance,0.4,style_invariant_logistic,0.85119,0.85119,0.03500,0.09372,168
affordance,0.4,physical_intent_disambiguation,0.86905,0.86310,0.03435,0.09117,168
affordance,0.4,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02040,168
affordance,0.6,body_normalized_knn,0.80357,0.70833,0.03985,0.47495,168
affordance,0.6,object_affordance_classifier,0.73214,0.63690,0.05554,0.38829,168
affordance,0.6,style_invariant_logistic,0.86310,0.86310,0.04618,0.16869,168
affordance,0.6,physical_intent_disambiguation,0.88690,0.88095,0.03300,0.10564,168
affordance,0.6,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02107,168
affordance,0.8,body_normalized_knn,0.83333,0.72619,0.03500,0.41083,168
affordance,0.8,object_affordance_classifier,0.72619,0.67857,0.04260,0.37762,168
affordance,0.8,style_invariant_logistic,0.89881,0.89881,0.03500,0.10455,168
affordance,0.8,physical_intent_disambiguation,0.85714,0.85119,0.04667,0.12278,168
affordance,0.8,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02050,168
affordance,1.0,body_normalized_knn,0.77381,0.69643,0.05554,0.48703,168
affordance,1.0,object_affordance_classifier,0.71429,0.63690,0.04618,0.37239,168
affordance,1.0,style_invariant_logistic,0.92262,0.92262,0.03300,0.09524,168
affordance,1.0,physical_intent_disambiguation,0.85714,0.84524,0.05833,0.14078,168
affordance,1.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02048,168
combined,0.0,body_normalized_knn,0.41667,0.28571,0.04518,0.92694,168
combined,0.0,object_affordance_classifier,0.64286,0.58929,0.08987,0.41725,168
combined,0.0,style_invariant_logistic,0.43452,0.43452,0.05872,0.52690,168
combined,0.0,physical_intent_disambiguation,0.76190,0.74405,0.04152,0.19124,168
combined,0.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02092,168
combined,0.2,body_normalized_knn,0.39881,0.31548,0.07531,0.84595,168
combined,0.2,object_affordance_classifier,0.64881,0.58333,0.06425,0.40441,168
combined,0.2,style_invariant_logistic,0.45238,0.45238,0.04857,0.41388,168
combined,0.2,physical_intent_disambiguation,0.78571,0.77976,0.04260,0.18221,168
combined,0.2,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02071,168
combined,0.4,body_normalized_knn,0.41071,0.29167,0.07128,0.93524,168
combined,0.4,object_affordance_classifier,0.66667,0.60119,0.06634,0.42625,168
combined,0.4,style_invariant_logistic,0.49405,0.49405,0.07000,0.44526,168
combined,0.4,physical_intent_disambiguation,0.81548,0.80952,0.03928,0.17774,168
combined,0.4,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02106,168
combined,0.6,body_normalized_knn,0.39881,0.25595,0.04857,0.92375,168
combined,0.6,object_affordance_classifier,0.62500,0.56548,0.04667,0.44829,168
combined,0.6,style_invariant_logistic,0.47619,0.47619,0.08520,0.48013,168
combined,0.6,physical_intent_disambiguation,0.73810,0.72619,0.05304,0.22758,168
combined,0.6,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02153,168
combined,0.8,body_normalized_knn,0.35714,0.26190,0.06836,0.93926,168
combined,0.8,object_affordance_classifier,0.60714,0.53571,0.06531,0.42489,168
combined,0.8,style_invariant_logistic,0.44643,0.44643,0.06600,0.40832,168
combined,0.8,physical_intent_disambiguation,0.76190,0.75595,0.05472,0.15529,168
combined,0.8,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02103,168
combined,1.0,body_normalized_knn,0.42857,0.33333,0.05346,0.87847,168
combined,1.0,object_affordance_classifier,0.56548,0.51786,0.08139,0.48549,168
combined,1.0,style_invariant_logistic,0.47619,0.47619,0.05872,0.42369,168
combined,1.0,physical_intent_disambiguation,0.71429,0.71429,0.04518,0.23090,168
combined,1.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02038,168
